Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity
THE FORWARD PATH,Legendary,Any,Kinetic,Auto Rifle,21.0,45.0,,69.0,60.0,71.0,60.0,10.0,600.0,,43.0,"['Adaptive Frame', 'Red Dot 2 MOA', 'Red Dot Micro', 'Rifle Scope SSF', 'Armor-Piercing Rounds', 'Extended Mag', 'Tap the Trigger']",42.0,16.0,60.0,,,,,,,,,
THE FORWARD PATH,Legendary,Any,Kinetic,Auto Rifle,21.0,45.0,,69.0,60.0,71.0,60.0,10.0,600.0,,43.0,"['Adaptive Frame', 'Red Dot 2 MOA', 'Armor-Piercing Rounds', 'Dynamic Sway Reduction', 'Iron Gaze', 'Adaptive Frame', 'Red Dot Micro', 'Cleanshot IS', 'Hitmark IS', 'Rifle Scope ST', 'Rifle Scope SSF', 'Red Dot 2 MOA', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Accurized Rounds', 'Steady Rounds', 'Flared Magwell', 'Alloy Magazine', 'Feeding Frenzy', 'Grave Robber', ""Fourth Time's the Charm"", 'Dynamic Sway Reduction', 'Hip-Fire Grip', 'Pulse Monitor', 'Multikill Clip', 'Swashbuckler', 'Iron Grip', 'Eye of the Storm', 'Tap the Trigger', 'Iron Gaze', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Counterbalance Stock', 'Backup Mag', 'Targeting Adjuster', 'Major Spec', 'Minor Spec', 'Icarus Grip', 'Boss Spec', 'Radar Tuner']",42.0,16.0,60.0,,,,,,,,,
THE LAST BREATH,Legendary,Any,Kinetic,Auto Rifle,21.0,42.0,,67.0,51.0,67.0,52.0,10.0,600.0,,43.0,"['Adaptive Frame', 'Extended Barrel', 'High-Caliber Rounds', 'Slideshot', 'Moving Target', 'Adaptive Frame', 'Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Corkscrew Rifling', 'Extended Barrel', 'Full Bore', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell', 'Light Mag', 'Alloy Magazine', 'Demolitionist', 'Dynamic Sway Reduction', 'Ensemble', 'Subsistence', 'Killing Wind', 'Slideshot', 'Adrenaline Junkie', 'Adagio', 'Osmosis', 'Frenzy', 'One for All', 'Rangefinder', 'Range', 'Stability', 'Reload Speed', 'Handling', 'Minor Spec', 'Major Spec', 'Backup Mag', 'Counterbalance Stock', 'Targeting Adjuster', 'Boss Spec', 'Icarus Grip', 'Taken Spec']",43.0,16.0,56.0,,,,,,,,,
THE LAST BREATH,Legendary,Any,Kinetic,Auto Rifle,21.0,42.0,,67.0,51.0,67.0,52.0,10.0,600.0,,43.0,"['Adaptive Frame', 'Extended Barrel', 'Full Bore', 'Chambered Compensator', 'Slideshot', 'Dynamic Sway Reduction', 'Ambitious Assassin']",43.0,16.0,56.0,,,,,,,,,
TIGERSPITE,Legendary,Any,Kinetic,Auto Rifle,29.0,62.0,,40.0,40.0,44.0,49.0,10.0,450.0,,33.0,"['Precision Frame', 'Polygonal Rifling', 'Smallbore', 'Corkscrew Rifling', 'Accurized Rounds', 'Steady Rounds', 'Kill Clip', 'Precision Frame', 'Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Corkscrew Rifling', 'Extended Barrel', 'Full Bore', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell', 'Light Mag', 'Alloy Magazine', 'Subsistence', 'Overflow', 'Surplus', 'Outlaw', 'Ambitious Assassin', 'Threat Detector', 'Dynamic Sway Reduction', 'Tap the Trigger', 'Triple Tap', 'High-Impact Reserves', 'Mulligan', 'Kill Clip', 'Rangefinder', 'Swashbuckler', 'Demolitionist', 'Frenzy', 'Under Pressure', 'Pulse Monitor', 'Quickdraw', 'Grave Robber', 'Hip-Fire Grip', 'Unrelenting', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Backup Mag', 'Counterbalance Stock', 'Major Spec', 'Minor Spec', 'Targeting Adjuster', 'Boss Spec', 'Icarus Grip', 'Freehand Grip']",41.0,16.0,68.0,,,,,,,,,
ACCRUED REDEMPTION,Legendary,Any,Kinetic,Combat Bow,76.0,,,55.0,40.0,70.0,60.0,10.0,,,,"['Precision Frame', 'Agile Bowstring', 'Polymer String', 'Carbon Arrow Shaft', 'Natural Fletching', 'Rangefinder', 'Moving Target', 'Precision Frame', 'Elastic String', 'Flexible String', 'Polymer String', 'Agile Bowstring', 'Tactile String', 'High Tension String', 'Natural String', 'Straight Fletching', 'Compact Arrow Shaft', 'Helical Fletching', 'Carbon Arrow Shaft', 'Natural Fletching', ""Archer's Tempo"", 'Rangefinder', 'Quickdraw', 'No Distractions', 'Explosive Head', 'Rampage', 'Rapid Hit', 'Moving Target', 'Draw Time', 'Accuracy', 'Reload Speed', 'Handling', 'Stability', 'Major Spec', 'Minor Spec', 'Targeting Adjuster', 'Boss Spec', 'Quick Access Sling', 'Taken Spec', 'Rampage Spec', 'Freehand Grip']",43.0,18.0,77.0,71.0,684.0,,,,,,,
BITING WINDS,Legendary,Any,Kinetic,Combat Bow,76.0,,,49.0,40.0,66.0,54.0,10.0,,,,"['Precision Frame', 'Natural String', 'Fiberglass Arrow Shaft', 'Moving Target', 'Explosive Head', 'Precision Frame', 'Elastic String', 'Flexible String', 'Polymer String', 'Agile Bowstring', 'Tactile String', 'High Tension String', 'Natural String', 'Fiberglass Arrow Shaft', 'Straight Fletching', 'Compact Arrow Shaft', 'Helical Fletching', 'Carbon Arrow Shaft', 'Natural Fletching', 'Killing Wind', 'Moving Target', 'Rapid Hit', 'Surplus', 'No Distractions', 'Quickdraw', 'Swashbuckler', 'Explosive Head', 'Snapshot Sights', 'Sympathetic Arsenal', 'Unrelenting', 'Rangefinder', 'Draw Time', 'Handling', 'Accuracy', 'Stability', 'Reload Speed', 'Major Spec', 'Targeting Adjuster', 'Minor Spec', 'Boss Spec', 'Quick Access Sling', 'Taken Spec', 'Freehand Grip', 'Icarus Grip']",43.0,18.0,63.0,68.0,684.0,,,,,,,
FEL TARADIDDLE,Legendary,Any,Kinetic,Combat Bow,68.0,,,65.0,60.0,77.0,59.0,12.0,,,,"['Lightweight Frame', 'Agile Bowstring', 'Fiberglass Arrow Shaft', 'Killing Wind', 'Adrenaline Junkie', 'Psychohack', 'Lightweight Frame', 'Agile Bowstring', 'High Tension String', 'Tactile String', 'Flexible String', 'Natural String', 'Polymer String', 'Elastic String', 'Carbon Arrow Shaft', 'Natural Fletching', 'Straight Fletching', 'Fiberglass Arrow Shaft', 'Compact Arrow Shaft', 'Helical Fletching', 'Shoot to Loot', 'Stats for All', 'Killing Wind', 'Rangefinder', 'Perpetual Motion', ""Archer's Tempo"", 'Shoot to Loot', 'Stats for All', 'Killing Wind', 'Rangefinder', 'Perpetual Motion Enhanced', ""Archer's Tempo"", 'Explosive Head', 'Cornered', 'Thresh', 'Adrenaline Junkie', 'One for All', 'Successful Warm-Up', 'Cornered', 'Explosive Head', 'Thresh', 'Adrenaline Junkie', 'One for All', 'Successful Warm-Up', 'Psychohack', 'Draw Time', 'Accuracy', 'Handling', 'Reload Speed', 'Stability', 'Major Spec', 'Minor Spec', 'Targeting Adjuster', 'Boss Spec', 'Freehand Grip', 'Quick Access Sling', 'Icarus Grip', 'Counterbalance Stock']",52.0,18.0,58.0,24.0,580.0,,,,,,,
LUNULATA-4B,Legendary,Any,Kinetic,Combat Bow,68.0,,,67.0,60.0,82.0,64.0,7.0,,,,"['Lightweight Frame', 'Agile Bowstring', 'Carbon Arrow Shaft', 'Steady Hands', 'Headstone', 'Veist Stinger', 'Lightweight Frame', 'Natural String', 'Polymer String', 'Tactile String', 'Elastic String', 'Agile Bowstring', 'Flexible String', 'High Tension String', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Straight Fletching', 'Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Natural Fletching', 'Steady Hands', 'No Distractions', 'Rangefinder', 'Ensemble', 'Shoot to Loot', 'Well-Rounded', 'Adrenaline Junkie', 'Successful Warm-Up', 'Headstone', 'Golden Tricorn', 'Wellspring', 'Turnabout', 'Veist Stinger', 'Draw Time', 'Reload Speed', 'Accuracy', 'Handling', 'Stability', 'Major Spec', 'Targeting Adjuster', 'Minor Spec', 'Boss Spec', 'Freehand Grip', 'Quick Access Sling', 'Counterbalance Stock', 'Icarus Grip']",59.0,18.0,49.0,25.0,580.0,,,,,,,
NO TURNING BACK,Legendary,Any,Kinetic,Combat Bow,76.0,,,54.0,40.0,66.0,52.0,10.0,,,,"['Precision Frame', 'High Tension String', 'Fiberglass Arrow Shaft', 'Explosive Head', 'Snapshot Sights', 'Hip-Fire Grip', 'Eyes Forward', 'Aim Is True']",48.0,18.0,72.0,68.0,660.0,,,,,,,
THE SPITEFUL FANG,Legendary,Any,Kinetic,Combat Bow,68.0,,,71.0,60.0,76.0,66.0,10.0,,,,"['Lightweight Frame', 'Natural String', 'Fiberglass Arrow Shaft', ""Archer's Tempo"", 'Explosive Head', 'Lightweight Frame', 'Polymer String', 'Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Fiberglass Arrow Shaft', 'Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching', ""Archer's Tempo"", 'Rangefinder', 'Moving Target', 'Air Assault', 'Sneak Bow', 'Snapshot Sights', 'Rampage', 'Explosive Head', 'Threat Detector', 'Hip-Fire Grip', 'Quickdraw']",50.0,18.0,50.0,34.0,580.0,,,,,,,
WHISPERING SLAB,Legendary,Any,Kinetic,Combat Bow,68.0,,,65.0,60.0,75.0,59.0,10.0,,,,"['Lightweight Frame', 'Natural String', 'Fiberglass Arrow Shaft', 'Killing Wind', 'Swashbuckler', 'Lightweight Frame', 'Elastic String', 'Flexible String', 'Polymer String', 'Agile Bowstring', 'Tactile String', 'Natural String', 'High Tension String', 'Fiberglass Arrow Shaft', 'Straight Fletching', 'Compact Arrow Shaft', 'Helical Fletching', 'Carbon Arrow Shaft', 'Natural Fletching', ""Archer's Tempo"", 'Hip-Fire Grip', 'Firmly Planted', 'Quickdraw', 'Killing Wind', 'Rangefinder', 'Vorpal Weapon', 'Sympathetic Arsenal', 'Demolitionist', 'Swashbuckler', 'Opening Shot', 'Unrelenting', 'Accuracy', 'Draw Time', 'Reload Speed', 'Stability', 'Handling', 'Major Spec', 'Minor Spec', 'Targeting Adjuster', 'Boss Spec', 'Taken Spec', 'Freehand Grip', 'Quick Access Sling', 'Icarus Grip']",53.0,18.0,55.0,22.0,580.0,,,,,,,
WHISTLER'S WHIM,Legendary,Any,Kinetic,Combat Bow,68.0,,,71.0,60.0,74.0,64.0,19.0,,,,"['Lightweight Frame', 'Natural String', 'Fiberglass Arrow Shaft', 'Rapid Hit', ""Archer's Tempo"", 'Alacrity', 'One Quiet Moment', 'Veist Stinger', 'Lightweight Frame', 'Tactile String', 'Natural String', 'Polymer String', 'Agile Bowstring', 'Elastic String', 'Flexible String', 'High Tension String', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Straight Fletching', 'Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Natural Fletching', 'Rapid Hit', 'Thresh', 'Cornered', 'Rangefinder', 'Moving Target', 'Killing Wind', 'Tunnel Vision', 'Kill Clip', 'Adrenaline Junkie', 'Swashbuckler', 'Opening Shot', 'Successful Warm-Up', ""Archer's Tempo"", 'Gutshot Straight', 'Alacrity', 'One Quiet Moment', 'Veist Stinger', 'Reload Speed', 'Draw Time', 'Accuracy', 'Handling', 'Stability', 'Targeting Adjuster', 'Major Spec', 'Minor Spec', 'Freehand Grip', 'Quick Access Sling', 'Icarus Grip', 'Counterbalance Stock', 'Boss Spec']",64.0,18.0,60.0,38.0,580.0,,,,,,,
WHISTLER'S WHIM (ADEPT),Legendary,Any,Kinetic,Combat Bow,68.0,,,71.0,60.0,74.0,64.0,19.0,,,,"['Lightweight Frame', 'Natural String', 'Fiberglass Arrow Shaft', 'Rapid Hit', ""Archer's Tempo"", 'Alacrity', 'One Quiet Moment', 'Veist Stinger', 'Lightweight Frame', 'Tactile String', 'Natural String', 'Polymer String', 'Agile Bowstring', 'Elastic String', 'Flexible String', 'High Tension String', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Straight Fletching', 'Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Natural Fletching', 'Rapid Hit', 'Thresh', 'Cornered', 'Rangefinder', 'Moving Target', 'Killing Wind', 'Tunnel Vision', 'Kill Clip', 'Adrenaline Junkie', 'Swashbuckler', 'Opening Shot', 'Successful Warm-Up', ""Archer's Tempo"", 'Gutshot Straight', 'Alacrity', 'One Quiet Moment', 'Veist Stinger', 'Draw Time', 'Accuracy', 'Handling', 'Reload Speed', 'Stability', 'Adept Big Ones Spec', 'Adept Targeting', 'Targeting Adjuster', 'Adept Handling', 'Adept Icarus Grip', 'Adept Reload', 'Adept Stability', 'Minor Spec']",64.0,18.0,60.0,38.0,580.0,,,,,,,
BURDEN OF GUILT,Legendary,Any,Kinetic,Fusion Rifle,70.0,41.0,,32.0,31.0,52.0,29.0,8.0,,660.0,6.0,"['Adaptive Frame', 'Arrowhead Brake', 'Accelerated Coils', 'Elemental Capacitor', 'Harmony', 'Alacrity', 'Adaptive Frame', 'Arrowhead Brake', 'Fluted Barrel', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Particle Repeater', 'Liquid Coils', 'Projection Fuse', 'Elemental Capacitor', 'Perpetual Motion', 'Well-Rounded', 'Killing Wind', 'Steady Hands', 'Stats for All', 'High-Impact Reserves', 'Harmony', 'Chill Clip', 'Swashbuckler', 'Vorpal Weapon', 'Successful Warm-Up', 'Alacrity', 'One Quiet Moment', 'Range', 'Stability', 'Charge Time', 'Reload Speed', 'Handling', 'Counterbalance Stock', 'Targeting Adjuster', 'Major Spec', 'Backup Mag', 'Boss Spec', 'Quick Access Sling', 'Freehand Grip', 'Icarus Grip']",39.0,15.0,55.0,,,,,,,,,
BURDEN OF GUILT (ADEPT),Legendary,Any,Kinetic,Fusion Rifle,70.0,41.0,,32.0,31.0,52.0,29.0,8.0,,660.0,6.0,"['Adaptive Frame', 'Arrowhead Brake', 'Accelerated Coils', 'Elemental Capacitor', 'Harmony', 'Alacrity', 'Adaptive Frame', 'Arrowhead Brake', 'Fluted Barrel', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Particle Repeater', 'Liquid Coils', 'Projection Fuse', 'Elemental Capacitor', 'Perpetual Motion', 'Well-Rounded', 'Killing Wind', 'Steady Hands', 'Stats for All', 'High-Impact Reserves', 'Harmony', 'Chill Clip', 'Swashbuckler', 'Vorpal Weapon', 'Successful Warm-Up', 'Alacrity', 'One Quiet Moment', 'Range', 'Stability', 'Charge Time', 'Handling', 'Reload Speed', 'Adept Range', 'Adept Stability', 'Adept Big Ones Spec', 'Adept Charge Time', 'Counterbalance Stock', 'Adept Targeting', 'Major Spec', 'Targeting Adjuster']",39.0,15.0,55.0,,,,,,,,,
DELIVERANCE,Legendary,Any,Kinetic,Fusion Rifle,80.0,62.0,,32.0,34.0,67.0,39.0,9.0,,780.0,6.0,"['Precision Frame', 'Arrowhead Brake', 'Accelerated Coils', 'Heating Up', 'Adrenaline Junkie', 'Souldrinker', 'Precision Frame', 'Polygonal Rifling', 'Extended Barrel', 'Chambered Compensator', 'Smallbore', 'Corkscrew Rifling', 'Full Bore', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Fluted Barrel', 'Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Projection Fuse', 'Particle Repeater', 'Liquid Coils', 'Demolitionist', 'Cornered', 'Compulsive Reloader', 'Heating Up', 'Perpetual Motion', 'Sleight of Hand', 'Steady Hands', 'Demolitionist', 'Cornered', 'Compulsive Reloader', 'Heating Up', 'Perpetual Motion Enhanced', 'Sleight of Hand', 'Steady Hands', 'Tap the Trigger', 'Surrounded', 'Harmony', 'Adrenaline Junkie', 'Chill Clip', 'Successful Warm-Up', 'Bait and Switch', 'Surrounded', 'Harmony', 'Adrenaline Junkie', 'Chill Clip', 'Successful Warm-Up', 'Bait and Switch', 'Souldrinker', 'Charge Time', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Major Spec', 'Counterbalance Stock', 'Boss Spec', 'Backup Mag', 'Targeting Adjuster', 'Surrounded Spec', 'Icarus Grip', 'Minor Spec']",52.0,16.0,80.0,,,,,,,,,
DELIVERANCE (ADEPT),Legendary,Any,Kinetic,Fusion Rifle,80.0,62.0,,32.0,34.0,67.0,39.0,9.0,,780.0,6.0,"['Precision Frame', 'Corkscrew Rifling', 'Enhanced Battery', 'Cornered', 'Tap the Trigger', 'Souldrinker', 'Precision Frame', 'Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Chambered Compensator', 'Extended Barrel', 'Full Bore', 'Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse', 'Demolitionist', 'Cornered', 'Perpetual Motion', 'Compulsive Reloader', 'Heating Up', 'Sleight of Hand', 'Steady Hands', 'Cornered', 'Heating Up', 'Perpetual Motion Enhanced', 'Sleight of Hand', 'Demolitionist', 'Compulsive Reloader', 'Steady Hands', 'Harmony', 'Chill Clip', 'Adrenaline Junkie', 'Tap the Trigger', 'Successful Warm-Up', 'Surrounded', 'Bait and Switch', 'Harmony', 'Chill Clip', 'Successful Warm-Up', 'Surrounded', 'Adrenaline Junkie', 'Bait and Switch', 'Souldrinker', 'Charge Time', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Adept Big Ones Spec', 'Adept Range', 'Adept Charge Time', 'Adept Stability', 'Major Spec', 'Boss Spec', 'Counterbalance Stock', 'Backup Mag']",52.0,16.0,80.0,,,,,,,,,
RIPTIDE,Legendary,Any,Kinetic,Fusion Rifle,55.0,21.0,,50.0,45.0,31.0,46.0,3.0,,500.0,7.0,"['Rapid-Fire Frame', 'Arrowhead Brake', 'Accelerated Coils', 'Heating Up', 'Chill Clip', 'One Quiet Moment', 'Rapid-Fire Frame', 'Arrowhead Brake', 'Polygonal Rifling', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Particle Repeater', 'Liquid Coils', 'Projection Fuse', 'Well-Rounded', 'Perpetual Motion', 'Auto-Loading Holster', 'Heating Up', 'Lead from Gold', 'Feeding Frenzy', 'Compulsive Reloader', 'Field Prep', 'Under Pressure', 'Steady Hands', 'Stats for All', 'Ensemble', 'Golden Tricorn', 'Chill Clip', 'Frenzy', 'Vorpal Weapon', 'Demolitionist', 'Successful Warm-Up', 'Harmony', 'Snapshot Sights', 'Wellspring', 'Cornered', 'Unrelenting', 'Thresh', 'One Quiet Moment', 'Charge Time', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Major Spec', 'Boss Spec', 'Counterbalance Stock', 'Backup Mag', 'Targeting Adjuster', 'Minor Spec', 'Freehand Grip', 'Quick Access Sling']",31.0,15.0,53.0,,,,,,,,,
IGNITION CODE,Legendary,Any,Kinetic,Grenade Launcher,,,,64.0,64.0,71.0,64.0,2.0,90.0,,1.0,"['Lightweight Frame', 'Linear Compensator', 'Proximity Grenades', 'Surplus', 'Danger Zone', 'Lightweight Frame', 'Volatile Launch', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control', 'Confined Launch', 'Countermass', 'Blinding Grenades', 'Spike Grenades', 'Proximity Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades', 'Slideshot', 'Ambitious Assassin', 'Field Prep', 'Surplus', 'Quickdraw', 'Lead from Gold', 'Vorpal Weapon', 'Demolitionist', 'Frenzy', 'One for All', 'Thresh', 'Danger Zone', 'Velocity', 'Reload Speed', 'Blast Radius', 'Handling', 'Major Spec', 'Boss Spec', 'Minor Spec', 'Quick Access Sling', 'Freehand Grip', 'Icarus Grip', 'Taken Spec', 'Targeting Adjuster']",28.0,13.0,75.0,,,72.0,100.0,,,,,
LINGERING DREAD,Legendary,Any,Kinetic,Grenade Launcher,,,,70.0,70.0,75.0,66.0,3.0,90.0,,1.0,"['Lightweight Frame', 'Volatile Launch', 'High-Velocity Rounds', 'Ambitious Assassin', 'Chill Clip', 'Bitterspite', 'Lightweight Frame', 'Quick Launch', 'Smart Drift Control', 'Linear Compensator', 'Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Blinding Grenades', 'Spike Grenades', 'Proximity Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades', 'Auto-Loading Holster', 'Ambitious Assassin', 'Unrelenting', 'Well-Rounded', 'Steady Hands', 'Feeding Frenzy', 'Chill Clip', 'Demolitionist', 'Vorpal Weapon', 'Danger Zone', 'Multikill Clip', 'Harmony', 'Bitterspite', 'Velocity', 'Reload Speed', 'Blast Radius', 'Handling', 'Major Spec', 'Boss Spec', 'Quick Access Sling', 'Minor Spec', 'Freehand Grip', 'Targeting Adjuster', 'Icarus Grip', 'Counterbalance Stock']",24.0,13.0,63.0,,,73.0,100.0,,,,,
PARDON OUR DUST,Legendary,Any,Kinetic,Grenade Launcher,,,,68.0,69.0,75.0,67.0,2.0,90.0,,1.0,"['Lightweight Frame', 'Quick Launch', 'Spike Grenades', 'Pulse Monitor', 'Rampage', 'Lightweight Frame', 'Confined Launch', 'Countermass', 'Smart Drift Control', 'Linear Compensator', 'Volatile Launch', 'Quick Launch', 'Hard Launch', 'Concussion Grenades', 'Implosion Rounds', 'High-Velocity Rounds', 'Proximity Grenades', 'Blinding Grenades', 'Spike Grenades', 'Pulse Monitor', 'Ensemble', 'Perpetual Motion', 'Killing Wind', 'Steady Hands', 'Stats for All', 'Ambitious Assassin', 'Auto-Loading Holster', 'Ensemble', 'Killing Wind', 'Perpetual Motion Enhanced', 'Steady Hands', 'Stats for All', 'Danger Zone', 'Wellspring', 'Adrenaline Junkie', 'Turnabout', 'Pugilist', 'Rampage', 'Demolitionist', 'Vorpal Weapon', 'Wellspring', 'Danger Zone', 'Turnabout', 'Adrenaline Junkie', 'Pugilist', 'Demolitionist', 'Vorpal Weapon', 'Hot Swap', 'Blast Radius', 'Velocity', 'Reload Speed', 'Handling', 'Major Spec', 'Boss Spec', 'Quick Access Sling', 'Minor Spec', 'Freehand Grip', 'Icarus Grip', 'Targeting Adjuster', 'Rampage Spec']",28.0,13.0,77.0,,,73.0,100.0,,,,,
THE MILITIA'S BIRTHRIGHT,Legendary,Any,Kinetic,Grenade Launcher,,,,69.0,63.0,75.0,61.0,4.0,90.0,,1.0,"['Lightweight Frame', 'Countermass', 'Blinding Grenades', 'Ambitious Assassin', 'Multikill Clip', 'Stunning Recovery', 'Lightweight Frame', 'Quick Launch', 'Smart Drift Control', 'Linear Compensator', 'Countermass', 'Volatile Launch', 'Confined Launch', 'Hard Launch', 'Blinding Grenades', 'Spike Grenades', 'Proximity Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades', 'Quickdraw', 'Slideways', 'Ambitious Assassin', 'Lead from Gold', 'Steady Hands', 'Grave Robber', 'Auto-Loading Holster', 'Frenzy', 'Multikill Clip', 'One for All', 'Swashbuckler', 'Pugilist', 'Stunning Recovery', ""Vanguard's Vindication"", 'Blast Radius', 'Handling', 'Reload Speed', 'Velocity', 'Major Spec', 'Quick Access Sling', 'Boss Spec', 'Freehand Grip', 'Minor Spec', 'Targeting Adjuster', 'Counterbalance Stock', 'Icarus Grip']",23.0,13.0,62.0,,,72.0,100.0,,,,,
THE MILITIA'S BIRTHRIGHT,Legendary,Any,Kinetic,Grenade Launcher,,,,69.0,63.0,75.0,61.0,2.0,90.0,,1.0,"['Lightweight Frame', 'Countermass', 'Blinding Grenades', 'Genesis', 'Threat Detector', 'Lightweight Frame', 'Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control', 'Blinding Grenades', 'Proximity Grenades', 'Spike Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades', 'Genesis', 'Ambitious Assassin', 'Grave Robber', 'Quickdraw', 'Rangefinder', 'Auto-Loading Holster', 'Snapshot Sights', 'Moving Target']",23.0,13.0,62.0,,,72.0,100.0,,,,,
THE MILITIA'S BIRTHRIGHT (ADEPT),Legendary,Any,Kinetic,Grenade Launcher,,,,69.0,63.0,75.0,61.0,4.0,90.0,,1.0,"['Lightweight Frame', 'Countermass', 'Blinding Grenades', 'Ambitious Assassin', 'Multikill Clip', 'Stunning Recovery', 'Lightweight Frame', 'Quick Launch', 'Smart Drift Control', 'Linear Compensator', 'Countermass', 'Volatile Launch', 'Confined Launch', 'Hard Launch', 'Blinding Grenades', 'Spike Grenades', 'Proximity Grenades', 'High-Velocity Rounds', 'Implosion Rounds', 'Concussion Grenades', 'Quickdraw', 'Ambitious Assassin', 'Lead from Gold', 'Steady Hands', 'Slideways', 'Grave Robber', 'Auto-Loading Holster', 'Frenzy', 'Multikill Clip', 'One for All', 'Swashbuckler', 'Pugilist', 'Stunning Recovery', ""Vanguard's Vindication"", 'Velocity', 'Handling', 'Blast Radius', 'Reload Speed', 'Adept Big Ones Spec', 'Adept Projectile Speed', 'Major Spec', 'Adept Reload', 'Quick Access Sling', 'Adept Blast Radius', 'Adept Handling', 'Boss Spec']",23.0,13.0,62.0,,,72.0,100.0,,,,,
THE MOUNTAINTOP,Legendary,Any,Kinetic,Grenade Launcher,,,,69.0,63.0,75.0,61.0,2.0,90.0,,1.0,"['Lightweight Frame', 'Hard Launch', 'Volatile Launch', 'Spike Grenades', 'Sticky Grenades', 'Rangefinder', 'Micro-Missile']",23.0,13.0,62.0,,,75.0,100.0,,,,,
AGAMID,Legendary,Any,Kinetic,Hand Cannon,92.0,55.0,,25.0,31.0,43.0,57.0,10.0,120.0,,9.0,"['Aggressive Frame', 'SteadyHand HCS', 'Crossfire HCS', 'HitMark HCS', 'Alloy Magazine', 'Armor-Piercing Rounds', 'Rampage']",23.0,14.0,100.0,,,,,,,,,
